"Anchors","Ordering","Conditional","APIS"
"casal","full","yes","atomic64_add_unless|atomic64_cmpxchg|atomic64_dec_unless_positive|atomic64_inc_not_zero|atomic64_inc_unless_negative|atomic64_try_cmpxchg|atomic_add_unless|atomic_cmpxchg|atomic_dec_unless_positive|atomic_inc_not_zero|atomic_inc_unless_negative|atomic_long_add_unless|atomic_long_cmpxchg|atomic_long_dec_unless_positive|atomic_long_inc_not_zero|atomic_long_inc_unless_negative|atomic_long_try_cmpxchg|atomic_try_cmpxchg|cmpxchg"
"dmb ish","full","no","mfence|smp_mb|smp_mb__after_atomic|smp_mb__after_spinlock|smp_mb__after_switch_mm|smp_mb__before_atomic|smp_store_mb"
"dmb osh","full","no","dma_mb"
"dsb sy","full","no","dsb_barrier"
"ldaddal","full","no","atomic64_add_negative|atomic64_add_return|atomic64_dec_and_test|atomic64_dec_return|atomic64_fetch_add|atomic64_fetch_dec|atomic64_fetch_inc|atomic64_fetch_sub|atomic64_inc_and_test|atomic64_inc_return|atomic64_sub_and_test|atomic64_sub_return|atomic_add_negative|atomic_add_return|atomic_dec_and_test|atomic_dec_return|atomic_dec_return_acquire|atomic_dec_return_relaxed|atomic_dec_return_release|atomic_fetch_add|atomic_fetch_dec|atomic_fetch_inc|atomic_fetch_sub|atomic_inc_and_test|atomic_inc_return|atomic_long_add_negative|atomic_long_add_return|atomic_long_dec_and_test|atomic_long_dec_return|atomic_long_fetch_add|atomic_long_fetch_dec|atomic_long_fetch_inc|atomic_long_fetch_sub|atomic_long_inc_and_test|atomic_long_inc_return|atomic_long_sub_and_test|atomic_long_sub_return|atomic_sub_and_test|atomic_sub_return|atomic_sub_return_acquire|atomic_sub_return_relaxed|atomic_sub_return_release"
"ldclral","full","no","atomic64_fetch_and|atomic64_fetch_andnot|atomic_fetch_and|atomic_fetch_andnot|atomic_long_fetch_and|atomic_long_fetch_andnot"
"ldeoral","full","no","atomic64_fetch_xor|atomic_fetch_xor|atomic_long_fetch_xor"
"ldsetal","full","no","atomic64_fetch_or|atomic_fetch_or|atomic_long_fetch_or"
"ldxr + stlxr + dmb ish","full","yes","atomic64_add_return|atomic64_add_unless|atomic64_cmpxchg|atomic64_dec_unless_positive|atomic64_fetch_add|atomic64_fetch_and|atomic64_fetch_andnot|atomic64_fetch_or|atomic64_fetch_sub|atomic64_fetch_xor|atomic64_inc_not_zero|atomic64_inc_unless_negative|atomic64_sub_return|atomic64_try_cmpxchg|atomic64_xchg|atomic_add_return|atomic_add_unless|atomic_cmpxchg|atomic_dec_unless_positive|atomic_fetch_add|atomic_fetch_and|atomic_fetch_andnot|atomic_fetch_or|atomic_fetch_sub|atomic_fetch_xor|atomic_inc_not_zero|atomic_inc_unless_negative|atomic_long_add_unless|atomic_long_cmpxchg|atomic_long_dec_unless_positive|atomic_long_inc_not_zero|atomic_long_inc_unless_negative|atomic_long_try_cmpxchg|atomic_long_xchg|atomic_sub_return|atomic_try_cmpxchg|atomic_xchg|cmpxchg|xchg"
"casa","acquire","no","atomic64_cmpxchg_acquire|atomic64_try_cmpxchg_acquire|atomic_cmpxchg_acquire|atomic_long_cmpxchg_acquire|atomic_long_try_cmpxchg_acquire|atomic_try_cmpxchg_acquire|cmpxchg_acquire"
"dmb ishld","acquire","no","lfence|refcount_dec_and_test|refcount_sub_and_test|smp_acquire__after_ctrl_dep|smp_rmb"
"dmb oshld","acquire","no","dma_rmb"
"ldadda","acquire","no","atomic64_add_return_acquire|atomic64_dec_return_acquire|atomic64_fetch_add_acquire|atomic64_fetch_dec_acquire|atomic64_fetch_inc_acquire|atomic64_fetch_sub_acquire|atomic64_inc_return_acquire|atomic64_sub_return_acquire|atomic_add_return_acquire|atomic_fetch_add_acquire|atomic_fetch_dec_acquire|atomic_fetch_inc_acquire|atomic_fetch_sub_acquire|atomic_inc_return_acquire|atomic_long_add_return_acquire|atomic_long_dec_return_acquire|atomic_long_fetch_add_acquire|atomic_long_fetch_dec_acquire|atomic_long_fetch_inc_acquire|atomic_long_fetch_sub_acquire|atomic_long_inc_return_acquire|atomic_long_sub_return_acquire"
"ldar","acquire","no","atomic64_read_acquire|atomic_long_read_acquire|atomic_read_acquire|smp_cond_load_acquire|smp_load_acquire"
"ldaxp + stxp","acquire","no","cmpxchg64_double|cmpxchg_double"
"ldaxr + stxr","acquire","no","atomic64_add_return_acquire|atomic64_cmpxchg_acquire|atomic64_fetch_add_acquire|atomic64_fetch_and_acquire|atomic64_fetch_andnot_acquire|atomic64_fetch_or_acquire|atomic64_fetch_sub_acquire|atomic64_fetch_xor_acquire|atomic64_sub_return_acquire|atomic64_try_cmpxchg_acquire|atomic64_xchg_acquire|atomic_add_return_acquire|atomic_cmpxchg_acquire|atomic_fetch_add_acquire|atomic_fetch_and_acquire|atomic_fetch_andnot_acquire|atomic_fetch_or_acquire|atomic_fetch_sub_acquire|atomic_fetch_xor_acquire|atomic_long_cmpxchg_acquire|atomic_long_try_cmpxchg_acquire|atomic_long_xchg_acquire|atomic_sub_return_acquire|atomic_try_cmpxchg_acquire|atomic_xchg_acquire|cmpxchg_acquire|xchg_acquire"
"ldclra","acquire","no","atomic64_fetch_and_acquire|atomic64_fetch_andnot_acquire|atomic_fetch_and_acquire|atomic_fetch_andnot_acquire|atomic_long_fetch_and_acquire|atomic_long_fetch_andnot_acquire"
"ldeora","acquire","no","atomic64_fetch_xor_acquire|atomic_fetch_xor_acquire|atomic_long_fetch_xor_acquire"
"ldseta","acquire","no","atomic64_fetch_or_acquire|atomic_fetch_or_acquire|atomic_long_fetch_or_acquire"
"casl","release","yes","atomic64_cmpxchg_release|atomic64_try_cmpxchg_release|atomic_cmpxchg_release|atomic_long_cmpxchg_release|atomic_long_try_cmpxchg_release|atomic_try_cmpxchg_release|cmpxchg_release"
